icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,flight_phase,risk_score
4acb23,NSZ5074 ,Sweden,1777995350.0,1777995350,1.2987,43.8741,10972.8,False,253.92,45.49,0.33,,10965.18,2332,False,0,cruise,0
345543,ANE55UZ ,Spain,1777995350.0,1777995350,1.5649,43.6665,10370.82,False,256.07,59.98,-1.95,,10347.96,1000,False,0,cruise,0
4892c2,ENT5KY  ,Poland,1777995349.0,1777995350,1.4143,44.4068,11277.6,False,215.23,240.19,0.0,,11269.98,6611,False,0,cruise,0
39a565,FHJLF   ,France,1777995349.0,1777995349,1.7022,43.5804,2438.4,False,118.91,141.15,-0.33,,2468.88,1000,False,0,transition,0
395d6d,BGA121N ,France,1777995349.0,1777995349,1.564,43.4336,914.4,False,96.11,323.93,0.98,,967.74,1000,False,0,landing,0
4ca256,RYR11PM ,Ireland,1777995349.0,1777995349,1.0362,43.4151,11582.4,False,241.39,347.44,0.0,,11582.4,1046,False,0,cruise,0
3814fa,AIB01IT ,France,1777995349.0,1777995350,1.1907,43.3744,1531.62,False,112.5,78.12,-0.65,,1577.34,2601,False,0,landing,0
3c64a3,DLH01A  ,Germany,1777995350.0,1777995350,2.3306,44.1074,10363.2,False,251.55,56.76,0.0,,10355.58,2016,False,0,cruise,0
440c38,EJU56NB ,Austria,1777995350.0,1777995350,1.3536,44.1783,11887.2,False,216.98,238.08,0.33,,11910.06,1000,False,0,cruise,0
4ca801,RYR2GJ  ,Ireland,1777995349.0,1777995350,1.0283,44.4434,11277.6,False,222.29,190.4,0.33,,11262.36,4113,False,0,cruise,0
3964ea,TVF522D ,France,1777995349.0,1777995349,1.5993,43.3347,2225.04,False,128.15,51.52,-2.93,,2270.76,5571,False,0,transition,0
3964e2,TVF23WV ,France,1777995349.0,1777995349,1.888,44.4814,9753.6,False,213.19,349.15,0.33,,9707.88,1000,False,0,cruise,0
4792a6,NSZ2BH  ,Norway,1777995349.0,1777995349,1.2053,44.1866,11582.4,False,245.15,353.01,-0.33,,11590.02,5355,False,0,cruise,0
38409a,AIB01SU ,France,1777995349.0,1777995349,1.373,43.6181,182.88,False,68.94,322.28,-3.25,,228.6,2607,False,0,landing,0
3986e5,AFR6026 ,France,1777995349.0,1777995349,1.4657,43.5289,807.72,False,73.15,323.29,-4.23,,853.44,1000,False,0,landing,0
392da4,TJT77JD ,France,1777995349.0,1777995350,1.9737,44.4197,7010.4,False,112.49,234.49,0.33,,7063.74,1000,False,0,transition,0
4b17f9,SWR8YB  ,Switzerland,1777995350.0,1777995350,1.5318,43.7936,11582.4,False,243.17,57.35,0.0,,11605.26,1171,False,0,cruise,0
4b17fe,SWR465K ,Switzerland,1777995349.0,1777995349,1.3297,43.8913,11277.6,False,203.93,230.53,0.33,,11277.6,1000,False,0,cruise,0
