icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
39de4f,TVF15DN ,France,1777995349.0,1777995349,-2.7059,40.4501,11879.58,False,216.09,195.89,0.0,,11955.78,7664,False,0
39de4e,TVF80TB ,France,1777995349.0,1777995349,1.9255,48.5816,1714.5,False,131.39,52.64,-4.55,,1714.5,1144,False,0
e8027e,LPE2452 ,Chile,1777995349.0,1777995349,-76.336,-6.5958,10668.0,False,220.22,14.2,0.0,,11407.14,,False,0
a1abec,N2069M  ,United States,1777995349.0,1777995349,-119.1668,34.2173,1463.04,False,53.36,340.87,0.65,,1463.04,0415,False,0
39de4b,TVF15GP ,France,1777995349.0,1777995350,-2.1349,41.8323,11894.82,False,218.68,202.4,0.33,,11940.54,7663,False,0
a89ea8,N6545L  ,United States,1777995307.0,1777995324,-98.4133,34.5391,655.32,False,79.48,166.14,5.53,,563.88,,False,0
39de4a,,France,1777995302.0,1777995326,-8.7188,32.2427,11894.82,False,200.39,194.57,0.0,,12230.1,,False,0
aa9321,UAL506  ,United States,1777995349.0,1777995349,1.6721,50.628,10972.8,False,250.42,313.0,0.33,,10949.94,5754,False,0
39de4c,TVF39LV ,France,1777995046.0,1777995050,12.3204,45.4806,129.54,False,63.02,42.02,-3.25,,175.26,1000,False,0
a53edd,GPD437  ,United States,1777995349.0,1777995350,-72.8737,41.6049,1729.74,False,110.11,246.31,-5.85,,1722.12,,False,0
39de57,TVF31HC ,France,1777995349.0,1777995349,12.3525,55.5683,11590.02,False,210.72,216.56,-0.33,,11521.44,1000,False,0
39de58,TVF28LP ,France,1777995349.0,1777995349,-6.8043,34.4892,5570.22,False,180.27,19.16,17.56,,5753.1,6462,False,0
801645,AIC1ZQ  ,India,1777995037.0,1777995060,76.7639,24.4557,11269.98,False,243.75,171.01,0.65,,11887.2,,False,0
39de50,TVF74CK ,France,1777995349.0,1777995349,-7.8606,36.149,11285.22,False,216.12,185.74,-0.33,,11521.44,7641,False,0
80162f,AIC7TN  ,India,1777995349.0,1777995349,76.8394,28.2707,2308.86,False,120.52,279.58,-5.2,,2354.58,,False,0
3ffc21,DMADH   ,Germany,1777995349.0,1777995349,8.2454,49.1048,1882.14,False,72.68,356.35,-1.95,,1889.76,2677,False,0
39de53,TVF93NR ,France,1777995349.0,1777995350,1.8284,47.4755,10210.8,False,226.45,198.68,5.2,,10172.7,7627,False,0
488280,SPAWA   ,Poland,1777995347.0,1777995349,20.0926,52.046,609.6,False,56.92,6.23,-1.95,,617.22,,False,0
39de55,TVF41HB ,France,1777995349.0,1777995350,10.5035,45.6697,11574.78,False,208.62,284.28,-0.33,,11696.7,3246,False,0
